fechaHora,MW,MW_P
2025-08-27 00:00:00.0,1221.67,1229.1
2025-08-27 00:15:00.0,1222.17,1229.1
2025-08-27 00:30:00.0,1197.56,1229.1
2025-08-27 00:45:00.0,1172.21,1229.1
2025-08-27 01:00:00.0,1173.14,1180.0
2025-08-27 01:15:00.0,1171.61,1180.0
2025-08-27 01:30:00.0,1159.27,1180.0
2025-08-27 01:45:00.0,1157.18,1180.0
2025-08-27 02:00:00.0,1145.22,1155.0
2025-08-27 02:15:00.0,1149.09,1155.0
2025-08-27 02:30:00.0,1132.74,1155.0
2025-08-27 02:45:00.0,1140.6,1155.0
2025-08-27 03:00:00.0,1132.38,1158.0
2025-08-27 03:15:00.0,1145.39,1158.0
2025-08-27 03:30:00.0,1133.12,1158.0
2025-08-27 03:45:00.0,1149.81,1158.0
2025-08-27 04:00:00.0,1164.43,1244.2
2025-08-27 04:15:00.0,1206.31,1244.2
2025-08-27 04:30:00.0,1233.94,1244.2
2025-08-27 04:45:00.0,1273.57,1244.2
2025-08-27 05:00:00.0,1304.32,1393.99
2025-08-27 05:15:00.0,1380.64,1393.99
2025-08-27 05:30:00.0,1397.8,1393.99
2025-08-27 05:45:00.0,1436.62,1393.99
2025-08-27 06:00:00.0,1470.46,1468.11
2025-08-27 06:15:00.0,1527.06,1468.11
2025-08-27 06:30:00.0,1501.72,1468.11
2025-08-27 06:45:00.0,1481.58,1468.11
2025-08-27 07:00:00.0,1486.02,1536.0
2025-08-27 07:15:00.0,1534.22,1536.0
2025-08-27 07:30:00.0,1561.52,1536.0
2025-08-27 07:45:00.0,1582.46,1536.0
2025-08-27 08:00:00.0,1601.95,1613.0
2025-08-27 08:15:00.0,1622.08,1613.0
2025-08-27 08:30:00.0,1635.47,1613.0
2025-08-27 08:45:00.0,1654.83,1613.0
2025-08-27 09:00:00.0,1659.72,1677.29
2025-08-27 09:15:00.0,1676.8,1677.29
2025-08-27 09:30:00.0,1692.51,1677.29
2025-08-27 09:45:00.0,1732.4,1677.29
2025-08-27 10:00:00.0,1706.55,1750.3
2025-08-27 10:15:00.0,1730.03,1750.3
2025-08-27 10:30:00.0,1778.47,1750.3
